brand,product_name,category,price,main_channel,monthly_sales_est,rating,review_count,is_own
롬앤,글래스팅 워터 글로스,립,12000,올리브영,38000,4.7,24800,N
롬앤,쥬시 래스팅 틴트,립,12000,올리브영,52000,4.8,61200,N
페리페라,잉크 무드 글로이 틴트,립,11000,올리브영,41000,4.6,33500,N
페리페라,잉크 더 벨벳,립,10000,올리브영,47000,4.7,58900,N
클리오,멜팅 듀 틴트,립,14000,올리브영,22000,4.6,12400,N
어뮤즈,듀 틴트,립,16000,자사몰,18000,4.7,8900,N
힌스,글로우 밤,립,21000,무신사,9500,4.5,4200,N
롬앤,베러 댄 치크,베이스,14000,올리브영,16000,4.6,9800,N
페리페라,슈가 트윙클 하이라이터,베이스,13000,올리브영,11000,4.5,5100,N
클리오,프리즘 에어 하이라이터,베이스,22000,올리브영,8800,4.6,6700,N
어뮤즈,쿠션 하이라이터,베이스,24000,자사몰,6200,4.5,2400,N
GLYF,글루 글로스,립,16000,자사몰,14500,4.7,3200,Y
GLYF,글루 립라이너,립,16000,자사몰,4800,4.5,980,Y
GLYF,휴 스프레드 스틱,베이스,18000,자사몰,5600,4.6,1450,Y
GLYF,일루에뜨 하이라이터 팔레트,베이스,43000,자사몰,2400,4.8,410,Y
GLYF,버블 이레이저 립 클렌저,클렌저,14000,자사몰,3100,4.4,720,Y
