content_id,post_date,platform,format,content_type,focus_sku,focus_product,reach,likes,saves,comments,engagement_rate,link_clicks
C008,2026-05-01,틱톡,틱톡영상,정기 콘텐츠,GLF-GG-01,글루 글로스 / 01 츄이 버블,17733,1330,201,86,0.091,296
C009,2026-05-03,유튜브,숏츠,단기 프로모션,GLF-GG-03,글루 글로스 / 03 체리 구,13876,1393,373,106,0.135,181
C010,2026-05-03,인스타,릴스,정기 콘텐츠,,전상품,16758,1592,358,46,0.119,469
C011,2026-05-04,인스타,스토리,시딩·IP 협업,GLF-IL-SG,일루에뜨 하이라이터 싱글 / 트랄라라,17206,1436,250,49,0.101,386
C012,2026-05-05,인스타,스토리,정기 콘텐츠,GLF-IL-MN,일루에뜨 하이라이터 미니,2952,238,64,5,0.104,59
C013,2026-05-05,틱톡,틱톡영상,시딩·IP 협업,GLF-HS-03,휴 스프레드 스틱 / 03 티어링,9376,585,166,11,0.081,232
C001,2026-05-08,틱톡,틱톡영상,시딩·IP 협업,GLF-GG-03,글루 글로스 / 03 체리 구,111194,12160,2566,595,0.138,3449
C014,2026-05-08,틱톡,틱톡영상,단기 프로모션,GLF-HS-02,휴 스프레드 스틱 / 02 러스트,9579,586,130,22,0.077,234
C015,2026-05-08,인스타,캐러셀,단기 프로모션,GLF-HS-07,휴 스프레드 스틱 / 07 몰트,14477,713,75,35,0.057,156
C002,2026-05-09,인스타,릴스,시딩·IP 협업,GLF-GG-03,글루 글로스 / 03 체리 구,106392,10984,2946,519,0.136,2575
C016,2026-05-09,인스타,릴스,정기 콘텐츠,,전상품,7706,660,227,29,0.119,100
C017,2026-05-11,틱톡,틱톡영상,단기 프로모션,GLF-GG-01,글루 글로스 / 01 츄이 버블,4386,478,151,22,0.148,62
C018,2026-05-12,틱톡,틱톡영상,단기 프로모션,GLF-GG-04,글루 글로스 / 04 피치 우즈,10572,498,60,26,0.055,298
C019,2026-05-13,인스타,피드,정기 콘텐츠,GLF-LL-02,글루 립라이너 / 02 스틱 어 피치,5975,241,35,6,0.047,143
C020,2026-05-14,틱톡,틱톡영상,정기 콘텐츠,GLF-GG-03,글루 글로스 / 03 체리 구,15382,1672,486,63,0.144,174
C003,2026-05-15,인스타,캐러셀,신제품 런칭,GLF-IL-PL,일루에뜨 하이라이터 팔레트 4구,118145,12780,2846,636,0.138,3617
C021,2026-05-15,인스타,릴스,신제품 런칭,,전상품,7254,525,136,31,0.095,292
C004,2026-05-16,틱톡,틱톡영상,신제품 런칭,GLF-IL-PL,일루에뜨 하이라이터 팔레트 4구,83781,8631,1557,720,0.13,4739
C022,2026-05-16,유튜브,숏츠,정기 콘텐츠,GLF-BE-01,버블 이레이저 립 클렌저,4126,416,69,32,0.125,62
C023,2026-05-16,틱톡,틱톡영상,정기 콘텐츠,,전상품,3221,279,77,20,0.117,121
C024,2026-05-17,인스타,릴스,정기 콘텐츠,GLF-HS-06,휴 스프레드 스틱 / 06 정크,13252,706,147,23,0.066,336
C025,2026-05-18,인스타,스토리,단기 프로모션,,전상품,19578,1547,448,103,0.107,274
C026,2026-05-20,인스타,피드,단기 프로모션,GLF-GG-04,글루 글로스 / 04 피치 우즈,5339,438,147,10,0.111,230
C027,2026-05-20,틱톡,틱톡영상,정기 콘텐츠,GLF-GG-03,글루 글로스 / 03 체리 구,19741,2060,620,117,0.142,361
C028,2026-05-21,인스타,스토리,시딩·IP 협업,GLF-IL-MN,일루에뜨 하이라이터 미니,9495,589,77,46,0.075,282
C029,2026-05-21,인스타,릴스,시딩·IP 협업,GLF-GG-04,글루 글로스 / 04 피치 우즈,16403,1795,238,119,0.131,431
C005,2026-05-22,인스타,피드,단기 프로모션,,전상품,45437,4016,844,167,0.111,1989
C030,2026-05-22,틱톡,틱톡영상,정기 콘텐츠,GLF-HS-07,휴 스프레드 스틱 / 07 몰트,5974,297,100,18,0.069,78
C031,2026-05-22,인스타,캐러셀,정기 콘텐츠,GLF-BE-01,버블 이레이저 립 클렌저,7738,851,140,20,0.131,123
C032,2026-05-24,인스타,릴스,정기 콘텐츠,,전상품,10861,1083,129,41,0.115,294
C033,2026-05-24,인스타,스토리,정기 콘텐츠,GLF-HS-02,휴 스프레드 스틱 / 02 러스트,18066,1867,288,139,0.127,255
C034,2026-05-25,인스타,피드,정기 콘텐츠,GLF-GG-08,글루 글로스 / 08 스파이시 신,19020,1313,415,87,0.095,686
C006,2026-05-26,틱톡,틱톡영상,시딩·IP 협업,GLF-GG-02,글루 글로스 / 02 소미 허니,117919,9283,2456,460,0.103,5065
C035,2026-05-26,인스타,스토리,정기 콘텐츠,GLF-GG-03,글루 글로스 / 03 체리 구,11183,851,97,53,0.09,176
C036,2026-05-26,인스타,캐러셀,정기 콘텐츠,GLF-PP-01,피플 패치 32매,15106,790,172,17,0.065,364
C007,2026-05-27,유튜브,숏츠,시딩·IP 협업,GLF-GG-02,글루 글로스 / 02 소미 허니,64244,4495,1491,341,0.098,2581
C037,2026-05-28,틱톡,틱톡영상,정기 콘텐츠,,전상품,6247,589,205,45,0.134,169
C038,2026-05-29,인스타,릴스,단기 프로모션,,전상품,12674,1082,184,25,0.102,267
C039,2026-05-30,틱톡,틱톡영상,정기 콘텐츠,GLF-GG-07,글루 글로스 / 07 모브 구미,16676,1259,139,39,0.086,200
C040,2026-05-31,틱톡,틱톡영상,정기 콘텐츠,GLF-GG-05,글루 글로스 / 05 메이플 글레이즈,2752,200,53,9,0.095,36
