캠페인ID,유형,매체,채널,시작일,종료일,대상카테고리,대상SKU,광고비,할인율,비고
CMP-2606-01,시즌런칭,메타+인스타,"자사몰,네이버 스마트스토어",2026-06-12,2026-06-13,여름컬렉션,"FR05,TW02,TW04,FB05",3500000,0.00,여름 컬렉션 런칭 (오션브리즈 디퓨저·웨이브 라인)
CMP-2606-02,기획전,자사몰+메타,자사몰,2026-06-19,2026-06-21,홈프래그런스+테이블웨어,"FR01,FR04,FR05,TW01,TW02",1800000,0.15,자사몰 여름 홈스타일링 기획전 (15% 할인)
CMP-2606-03,채널세일,오늘의집 광고,오늘의집,2026-06-23,2026-06-25,테이블웨어+패브릭,"TW03,TW05,FB02,FB03",1200000,0.20,오늘의집 여름 리빙위크 입점세일 (20% 할인)
CMP-2606-04,콘텐츠,인스타 릴스,자사몰,2026-06-16,2026-06-17,여름 시즌한정,"FR03,TW06",800000,0.00,시트러스 캔들·글라스컵 인스타 콘텐츠 부스팅
CMP-2606-05,기획전,29CM 기획전,29CM,2026-06-26,2026-06-27,홈프래그런스+패브릭,"FR04,FB01,FB04",1500000,0.10,29CM 여름 리빙 기획전 (이번 주 / 10% 할인)
AON-2601-MW,상시광고,메타,자사몰,2026-05-26,2026-06-01,전체,,361000,0.00,1주차 상시 메타 운영
AON-2601-MW,상시광고,인스타 부스팅,자사몰,2026-05-26,2026-06-01,홈프래그런스,,332000,0.00,1주차 상시 인스타 부스팅 운영
AON-2601-NV,상시광고,네이버 쇼핑검색,네이버 스마트스토어,2026-05-26,2026-06-01,전체,,293000,0.00,1주차 상시 네이버 쇼핑검색 운영
AON-2601-OH,상시광고,오늘의집 노출,오늘의집,2026-05-26,2026-06-01,테이블웨어,,229000,0.00,1주차 상시 오늘의집 노출 운영
AON-2602-MW,상시광고,메타,자사몰,2026-06-02,2026-06-08,전체,,370000,0.00,2주차 상시 메타 운영
AON-2602-MW,상시광고,인스타 부스팅,자사몰,2026-06-02,2026-06-08,홈프래그런스,,329000,0.00,2주차 상시 인스타 부스팅 운영
AON-2602-NV,상시광고,네이버 쇼핑검색,네이버 스마트스토어,2026-06-02,2026-06-08,전체,,298000,0.00,2주차 상시 네이버 쇼핑검색 운영
AON-2602-OH,상시광고,오늘의집 노출,오늘의집,2026-06-02,2026-06-08,테이블웨어,,235000,0.00,2주차 상시 오늘의집 노출 운영
AON-2603-MW,상시광고,메타,자사몰,2026-06-09,2026-06-15,전체,,391000,0.00,3주차 상시 메타 운영
AON-2603-MW,상시광고,인스타 부스팅,자사몰,2026-06-09,2026-06-15,홈프래그런스,,379000,0.00,3주차 상시 인스타 부스팅 운영
AON-2603-NV,상시광고,네이버 쇼핑검색,네이버 스마트스토어,2026-06-09,2026-06-15,전체,,272000,0.00,3주차 상시 네이버 쇼핑검색 운영
AON-2603-OH,상시광고,오늘의집 노출,오늘의집,2026-06-09,2026-06-15,테이블웨어,,212000,0.00,3주차 상시 오늘의집 노출 운영
AON-2604-MW,상시광고,메타,자사몰,2026-06-16,2026-06-22,전체,,416000,0.00,4주차 상시 메타 운영
AON-2604-MW,상시광고,인스타 부스팅,자사몰,2026-06-16,2026-06-22,홈프래그런스,,335000,0.00,4주차 상시 인스타 부스팅 운영
AON-2604-NV,상시광고,네이버 쇼핑검색,네이버 스마트스토어,2026-06-16,2026-06-22,전체,,338000,0.00,4주차 상시 네이버 쇼핑검색 운영
AON-2604-OH,상시광고,오늘의집 노출,오늘의집,2026-06-16,2026-06-22,테이블웨어,,245000,0.00,4주차 상시 오늘의집 노출 운영
AON-2605-MW,상시광고,메타,자사몰,2026-06-23,2026-06-28,전체,,425000,0.00,5주차 상시 메타 운영
AON-2605-MW,상시광고,인스타 부스팅,자사몰,2026-06-23,2026-06-28,홈프래그런스,,407000,0.00,5주차 상시 인스타 부스팅 운영
AON-2605-NV,상시광고,네이버 쇼핑검색,네이버 스마트스토어,2026-06-23,2026-06-28,전체,,272000,0.00,5주차 상시 네이버 쇼핑검색 운영
AON-2605-OH,상시광고,오늘의집 노출,오늘의집,2026-06-23,2026-06-28,테이블웨어,,204000,0.00,5주차 상시 오늘의집 노출 운영
PRM-2606-01,프로모션,자체,자사몰,2026-06-02,2026-06-08,문구,"ST02,ST03,ST05",150000,0.10,문구 묶음 쿠폰
PRM-2606-02,프로모션,자체,네이버 스마트스토어,2026-06-09,2026-06-12,홈프래그런스,FR06,200000,0.12,룸스프레이 단독전
PRM-2606-03,프로모션,자체,자사몰,2026-06-14,2026-06-16,테이블웨어,TW01,300000,0.00,스톤 머그 1+1
PRM-2606-04,프로모션,자체,오늘의집,2026-06-10,2026-06-13,패브릭,FB03,150000,0.05,쿠션커버 백화점행사
PRM-2606-05,프로모션,자체,네이버 스마트스토어,2026-06-23,2026-06-26,테이블웨어,TW06,300000,0.10,컵세트 여름 쿨딜
PRM-2606-06,프로모션,자체,자사몰,2026-05-26,2026-05-31,문구,"ST01,ST06",150000,0.10,다이어리 신학기
PRM-2606-07,프로모션,자체,29CM,2026-06-16,2026-06-22,테이블웨어,TW07,300000,0.00,티팟 단독 큐레이션
