SKU,카테고리,상품명,작가콜라보,정가,자사몰판매가,원가,재고수량,월판매량
AE01,아트에디션,김창열 〈물방울〉 판화 에디션 (소),김창열,420000,380000,232000,18,88
AE02,아트에디션,김창열 〈물방울〉 판화 에디션 (대),김창열,1300000,1200000,744000,9,19
AE03,아트에디션,김환기 〈무제〉 점화 에디션 (소),김환기,490000,450000,279000,14,125
AE04,아트에디션,김환기 〈무제〉 점화 에디션 (대),김환기,1900000,1800000,1116000,6,65
AE05,아트에디션,쿠사마 야요이 〈호박〉 실크스크린 (S),쿠사마 야요이,720000,680000,421000,11,88
AE06,아트에디션,쿠사마 야요이 〈호박〉 실크스크린 (L),쿠사마 야요이,2500000,2400000,1488000,4,38
AE07,아트에디션,김창열 〈물방울〉 원화,김창열,4200000,4000000,2480000,2,3
AE08,아트에디션,김환기 〈점화〉 한정 에디션,김환기,3400000,3200000,1984000,3,6
LG01,리빙-글라스,세라믹 버블글라스,,98000,93000,37000,120,603
LG02,리빙-글라스,버블 와인버킷,,230000,220000,92000,40,285
LG03,리빙-글라스,버블 텀블러,,72000,68000,27000,150,226
LG04,리빙-글라스,버블 보울,,89000,85000,35000,90,413
LD01,리빙-도자,산딸기 티웨어 세트,,390000,370000,152000,28,411
LD02,리빙-도자,산딸기 머그,,94000,89000,35000,110,448
LD03,리빙-도자,도자 화병,,152000,145000,60000,55,342
LD04,리빙-도자,도자 접시 세트,,172000,165000,70000,48,301
LD05,리빙-도자,백자 다기 세트,,295000,280000,118000,22,358
LD06,리빙-도자,도자 컵받침 세트,,34000,32000,14000,130,180
LC01,리빙-공예,유기 수저 세트,,208000,198000,89000,44,86
LC02,리빙-공예,유기 반상기 세트,,540000,520000,234000,12,96
LC03,리빙-공예,황동 트레이,,182000,175000,73000,60,75
LC04,리빙-공예,옻칠 함,,250000,240000,108000,20,64
LT01,리빙-텍스타일,Work1969 실크 스카프,,450000,430000,193000,35,95
LT02,리빙-텍스타일,패턴 머플러,,99000,95000,41000,70,69
LT03,리빙-텍스타일,린넨 테이블러너,,76000,72000,31000,85,78
LT04,리빙-텍스타일,코튼 에코백,,40000,38000,16000,200,137
LT05,리빙-텍스타일,린넨 앞치마,,61000,58000,25000,75,75
LP01,리빙-문구,한지 엽서,,7000,7000,2800,600,249
LP02,리빙-문구,아트 포스터 (소),,30000,28000,11000,220,250
LP03,리빙-문구,아트 노트,,16000,15000,6000,280,278
LP04,리빙-문구,마스킹테이프,,9000,9000,3400,400,227
LP05,리빙-문구,아트 엽서세트,,19000,18000,7200,240,235
LP06,리빙-문구,책갈피 세트,,13000,12000,4800,300,263
LP07,리빙-문구,아트 마그넷,,8500,8000,3200,350,210
