complaint_id,received_date,title,contact_path,product,customer_id,customer_name,channel,region,severity,stage,owner_dept,last_update,next_action
CMP-001,2026-05-01,스마트비데 누수 / 천장 누수로 아랫집 컴플레인,건설사 자재팀,RB1530 스마트비데,C1027,광주위생,전문점,전라,중대,현장조사_완료,영업관리팀,2026-05-04,조사 보고서 작성
CMP-002,2026-05-03,도기 미세 크랙 / 입주 1주 만에 발견,직영점 매장,MOD 양변기,C1034,경주위생설비,전문점,경상북부,보통,재발방지_검토,품질보증팀,2026-05-09,유사 사례 batch 점검
CMP-003,2026-05-09,핸들 분리 / 사용 중 빠짐 + 손 부상 우려,건설사 자재팀,수전 원핸들 카트리지,C1039,부산진위생,전문점,경상북부,긴급,현장조치_진행중,생산관리팀,2026-05-10,현장 조치 진행 모니터링
CMP-004,2026-05-03,물내림 약함 / 2층 이상 수압 부족,전문점 영업,CITY 양변기,C1002,강남바스,전문점,충청,보통,대책수립,영업관리팀,2026-05-05,재발방지 대책 수립
CMP-005,2026-04-19,리모컨 작동 불량 / 5개 호실 동시 발생,온라인몰 1:1문의,RB1680 슬림비데,C1037,양산위생설비,전문점,경상북부,중대,접수,품질보증팀,2026-04-24,1차 응대 및 원인 분류
CMP-006,2026-05-05,세면기 배수 누수 / 호텔 객실 카펫 손상,건설사 자재팀,CANYON 세면기,C1039,부산진위생,전문점,경상북부,긴급,대책수립,생산관리팀,2026-05-10,재발방지 대책 수립
CMP-007,2026-05-07,도기 색상 차이 / 발주 색상과 다름,전문점 영업,DIVE 세면기,C1046,DL이앤씨_조달,전문점,경기남부,경미,종결대기,생산관리팀,2026-05-11,고객 확인 후 종결
CMP-008,2026-05-07,핸드드라이어 작동 불량 / 공항 화장실,본사 대표번호,에어타올 핸드드라이어,C1036,김해위생,대리점,인천,중대,현장조사_완료,품질보증팀,2026-05-11,조사 보고서 작성
CMP-009,2026-05-11,감지밸브 오작동 / 백화점 화장실 동시 다발,건설사 자재팀,RUE420 소변기 감지밸브,C1029,목포상회,전문점,인천,긴급,재발방지_검토,영업관리팀,2026-05-10,유사 사례 batch 점검
CMP-010,2026-04-21,비데 노즐 동작 안 함 / 신축 입주민 다수 문의,직영점 매장,블로이 도기일체형비데,C1030,여수위생설비,전문점,부산,중대,현장조치_진행중,CX지원팀,2026-04-27,현장 조치 진행 모니터링
CMP-011,2026-04-20,도기 균열 음 발생 / 야간 사용 중,전문점 영업,MOD 양변기,C1003,수도위생설비,전문점,강원,보통,현장조사_완료,품질보증팀,2026-04-27,조사 보고서 작성
CMP-012,2026-04-28,수전 토수량 부족,직영점 매장,수전 원핸들 카트리지,C1004,서초도기상회,대리점,경기남부,경미,현장조사_완료,AS팀,2026-05-03,조사 보고서 작성
CMP-013,2026-04-17,리모컨 배터리 조기 방전,전문점 영업,RB1530 스마트비데,C1024,천안위생,대리점,전라,경미,종결대기,AS팀,2026-04-30,
CMP-014,2026-04-22,배수트랩 악취,건설사 자재팀,CANYON 세면기,C1032,구미위생,전문점,경상남부,보통,재발방지_검토,AS팀,2026-05-04,유사 사례 batch 점검
CMP-015,2026-05-08,벽걸이 도기 흔들림 / 시공 부실 의심,온라인몰 1:1문의,CITY 양변기,C1014,용인위생,전문점,강원,중대,원인분석,품질보증팀,2026-05-11,품질팀 도면·로트 확인
CMP-016,2026-05-07,좌변시트 균열 / 어린이 사용 중,본사 대표번호,RB1680 슬림비데,C1016,오산상회,전문점,전라,중대,현장조치_진행중,CX지원팀,2026-05-10,현장 조치 진행 모니터링
CMP-017,2026-04-30,리모델링 입주 동시 발생 / 같은 단지 8세대,직영점 매장,MOD 양변기,C1030,여수위생설비,전문점,부산,긴급,대책수립,AS팀,2026-05-08,재발방지 대책 수립
CMP-018,2026-05-09,세면기 받침대 부속 누락 / 시공 지연,건설사 자재팀,DIVE 세면기,C1029,목포상회,전문점,인천,보통,원인분석,AS팀,2026-05-11,품질팀 도면·로트 확인
CMP-019,2026-04-28,도기 색상 변색 / 6개월 후 발견,본사 대표번호,MOD 양변기,C1038,진주위생,전문점,충청,경미,현장조사_완료,AS팀,2026-05-09,조사 보고서 작성
CMP-020,2026-04-25,핸드드라이어 소음 큼 / 사무빌딩,건설사 자재팀,에어타올 핸드드라이어,C1021,강릉상회,전문점,부산,경미,현장조사_예약,CX지원팀,2026-05-01,현장조사 일정 확정
CMP-021,2026-05-06,감지센서 오작동 / 지하주차장 화장실 야간,고객콜센터,RUE420 소변기 감지밸브,C1051,직영_부산전시장,직영점,경상북부,보통,대책수립,품질보증팀,2026-05-11,재발방지 대책 수립
CMP-022,2026-05-09,비데 본체 진동 / 사용감 불편,고객콜센터,블로이 도기일체형비데,C1010,부천위생,전문점,경기남부,경미,현장조사_완료,생산관리팀,2026-05-11,조사 보고서 작성
CMP-023,2026-04-19,리모컨 응답 지연,전문점 영업,RB1530 스마트비데,C1010,부천위생,전문점,경기남부,경미,현장조사_완료,품질보증팀,2026-04-29,조사 보고서 작성
CMP-024,2026-04-29,매장 전시품과 색감 다름,온라인몰 1:1문의,CITY 양변기,C1032,구미위생,전문점,경상남부,보통,접수,영업관리팀,2026-05-07,1차 응대 및 원인 분류
CMP-025,2026-05-10,도기 모서리 칩 발생 / 배송 중 파손,전문점 영업,DIVE 세면기,C1047,포스코건설_자재,건설사,경상북부,보통,종결대기,CX지원팀,2026-05-11,고객 확인 후 종결
CMP-026,2026-04-30,벽 부착 부속 불량 / 즉시 추락 위험,전문점 영업,수전 원핸들 카트리지,C1053,ROYAL_VIETNAM_CO,수출,부산,긴급,현장조치_진행중,생산관리팀,2026-05-06,현장 조치 진행 모니터링
CMP-027,2026-05-08,물 새는 소리 지속 / 야간 거슬림,직영점 매장,MOD 양변기,C1035,창원바스,대리점,강원,경미,접수,CX지원팀,2026-05-08,1차 응대 및 원인 분류
CMP-028,2026-04-13,리모컨 작동거리 짧음,건설사 자재팀,RB1680 슬림비데,C1035,창원바스,대리점,강원,경미,접수,영업관리팀,2026-05-10,1차 응대 및 원인 분류
CMP-029,2026-05-07,호텔 객실 동일 호실라인 17실 동시 문의,건설사 자재팀,RB1530 스마트비데,C1001,한강위생,전문점,경상북부,긴급,대책수립,AS팀,2026-05-11,재발방지 대책 수립
CMP-030,2026-04-17,감지밸브 도색 벗겨짐,건설사 자재팀,RUE420 소변기 감지밸브,C1032,구미위생,전문점,경상남부,경미,종결대기,CX지원팀,2026-05-06,고객 확인 후 종결
CMP-031,2026-04-28,도기 표면 황변 / 시공 후 3개월,직영점 매장,CITY 양변기,C1018,화성위생,전문점,경상남부,보통,종결대기,생산관리팀,2026-04-29,고객 확인 후 종결
CMP-032,2026-05-07,세면기 수전 결합부 누수,고객콜센터,CANYON 세면기,C1040,해운대위생설비,전문점,충청,중대,재발방지_검토,AS팀,2026-05-10,유사 사례 batch 점검
CMP-033,2026-04-27,핸드드라이어 발열 과다,본사 대표번호,에어타올 핸드드라이어,C1022,청주위생,전문점,경상북부,중대,대책수립,CX지원팀,2026-04-27,재발방지 대책 수립
CMP-034,2026-04-26,도기 일체형 비데 물내림 불량,전문점 영업,블로이 도기일체형비데,C1009,일산건자재,전문점,경상북부,보통,현장조사_완료,AS팀,2026-05-04,조사 보고서 작성
CMP-035,2026-05-05,리모컨 분실 (매장 측 요청),본사 대표번호,RB1680 슬림비데,C1045,GS건설_자재팀,건설사,인천,경미,종결대기,AS팀,2026-05-10,고객 확인 후 종결
CMP-036,2026-04-19,매장 점장 SNS에 불만 게시 (자사몰 후기),건설사 자재팀,RB1530 스마트비데,C1042,제주위생설비,전문점,부산,중대,현장조사_예약,CX지원팀,2026-04-27,현장조사 일정 확정
CMP-037,2026-05-04,이지포스 정산 누락 / 직영점 환불 처리 지연,직영점 매장,MOD 양변기,C1046,DL이앤씨_조달,전문점,경기남부,보통,접수,품질보증팀,2026-05-04,1차 응대 및 원인 분류
CMP-038,2026-05-03,백화점 입점 매장 / VIP 고객 불만 + 본사 회신 요청,건설사 자재팀,CANYON 세면기,C1046,DL이앤씨_조달,전문점,경기남부,긴급,현장조사_완료,생산관리팀,2026-05-05,조사 보고서 작성
CMP-039,2026-05-05,재고 노후 모델 / 부속 단종으로 수리 불가,온라인몰 1:1문의,RUE420 소변기 감지밸브,C1019,춘천위생,전문점,강원,보통,대책수립,품질보증팀,2026-05-08,재발방지 대책 수립
CMP-040,2026-04-23,관급 입찰 납품 / 감리 거부,건설사 자재팀,MOD 양변기,C1049,직영_명동전시장,직영점,강원,중대,현장조사_완료,영업관리팀,2026-04-23,조사 보고서 작성
CMP-041,2026-04-25,리모델링 시공사 측 책임 떠넘김 / 본사 중재 요청,고객콜센터,CITY 양변기,C1003,수도위생설비,전문점,강원,중대,재발방지_검토,영업관리팀,2026-04-30,유사 사례 batch 점검
CMP-042,2026-05-04,도기 균열 / 동일 batch 의심 (생산일자 동일),건설사 자재팀,DIVE 세면기,C1020,원주도기,전문점,부산,긴급,원인분석,AS팀,2026-05-04,품질팀 도면·로트 확인
CMP-043,2026-04-29,수전 미스트 분사 부족,건설사 자재팀,수전 원핸들 카트리지,C1033,안동위생,전문점,부산,경미,대책수립,품질보증팀,2026-05-09,재발방지 대책 수립
CMP-044,2026-04-15,리모컨 무선 간섭 / 호텔 다른 객실 작동,온라인몰 1:1문의,RB1530 스마트비데,C1049,직영_명동전시장,직영점,강원,보통,현장조사_예약,영업관리팀,2026-04-30,현장조사 일정 확정
