directive_id,received_date,sender_dept,report_title,key_metric,this_value,prev_value,delta,has_action_plan,coord_dept_needed,due_date,status
DIR-001,2026-05-11,영업관리팀,주간 영업실적 보고,주간매출,9820,10840,-9.4%,Y,,2026-05-12,검토중
DIR-002,2026-05-11,품질보증팀,RB1530 batch 불량 분석,불량률(%),3.8,1.2,+216.7%,N,생산관리팀,2026-05-13,미확인
DIR-003,2026-05-11,AS팀,주간 AS 접수 건수,접수건수,184,162,+13.6%,Y,,2026-05-12,지시완료
DIR-004,2026-05-11,CX지원팀,VIP 불만 처리 현황,미종결건,7,4,+75.0%,N,영업관리팀,2026-05-13,미확인
DIR-005,2026-05-11,생산관리팀,수배부족 부품 현황,부족품번수,12,6,+100.0%,Y,구매팀,2026-05-14,검토중
DIR-006,2026-05-11,재무회계팀,직영점 매출채권 회수,회수율(%),78,86,-9.3%,N,영업관리팀,2026-05-15,미확인
DIR-007,2026-05-11,문화사업부,이번 주 SNS 부정 멘션,멘션수,31,12,+158.3%,N,CX지원팀,2026-05-13,미확인
DIR-008,2026-05-11,영업관리팀,특별출고 승인 건수 (주간),승인건수,14,9,+55.6%,Y,,2026-05-12,지시완료
DIR-009,2026-05-11,정보관리팀,고객센터 콜 미응답률,미응답률(%),14,6,+133.3%,N,CX지원팀,2026-05-13,검토중
DIR-010,2026-05-11,AS팀,현장조사 예약 적체,적체건수,23,11,+109.1%,N,AS팀,2026-05-14,미확인
DIR-011,2026-05-11,품질보증팀,도기 색상 차이 클레임,발생건수,8,3,+166.7%,Y,생산관리팀,2026-05-15,검토중
DIR-012,2026-05-11,CX지원팀,관급 입찰 감리 거부 건,발생건수,2,0,+0.0%,N,"영업관리팀,품질보증팀",2026-05-13,미확인
