request_date,request_id,type,customer_id,customer_name,channel,rep_name,reason,quantity,price_ratio,cost_multiplier,prev_month_report_ok,status
2026-05-10,REQ-0010,특별출고,C1024,천안위생,대리점,임하경,신축 아파트 입주 일정 단축 요청,181,,,Y,승인
2026-05-10,REQ-0032,특별출고,C1009,일산건자재,전문점,장도윤,전문점 재고 소진 직후 대형 발주,221,,,N,승인
2026-05-09,REQ-0003,특별출고,C1008,분당리모델링,전문점,최지원,기존 모델 단종 직전 마지막 발주,115,,,Y,승인
2026-05-09,REQ-0018,특별출고,C1004,서초도기상회,대리점,최지원,신축 아파트 입주 일정 단축 요청,329,,,Y,승인
2026-05-09,REQ-0037,특별출고,C1042,제주위생설비,전문점,이재훈,관급(공중화장실) 입찰 납품 보강,347,,,Y,승인
2026-05-08,REQ-0030,특별출고,C1011,안양도기,전문점,정민수,기존 모델 단종 직전 마지막 발주,268,,,N,반려
2026-05-06,REQ-0013,특별출고,C1026,충주도기,전문점,박서영,전문점 재고 소진 직후 대형 발주,223,,,Y,승인
2026-05-06,REQ-0025,특별출고,C1044,현대건설_조달팀,건설사,한승현,기존 모델 단종 직전 마지막 발주,158,,,Y,조건부승인
2026-05-06,REQ-0035,특별출고,C1014,용인위생,전문점,조유진,기존 모델 단종 직전 마지막 발주,37,,,N,검토중
2026-05-04,REQ-0012,특별가,C1050,직영_분당전시장,직영점,한승현,대형 평수 패키지 단가 협상,,0.943,1.76,Y,승인
2026-05-03,REQ-0016,특별가,C1023,대전바스,전문점,임하경,수출 환율 변동 대응,,0.868,2.02,N,승인
2026-05-03,REQ-0021,특별가,C1035,창원바스,대리점,이재훈,관급 입찰가 인하 요청,,0.788,1.83,Y,검토중
2026-05-01,REQ-0011,특별출고,C1038,진주위생,전문점,윤가람,현장 긴급 납기 (KTX 환승역 리모델링),227,,,Y,검토중
2026-05-01,REQ-0017,특별출고,C1029,목포상회,전문점,이재훈,신축 아파트 입주 일정 단축 요청,21,,,N,검토중
2026-05-01,REQ-0031,특별가,C1019,춘천위생,전문점,장도윤,대형 평수 패키지 단가 협상,,0.939,1.58,Y,검토중
2026-05-01,REQ-0033,특별가,C1001,한강위생,전문점,임하경,경쟁사 가격 인하 대응 (5% 차감 요청),,1.03,1.66,Y,승인
2026-04-29,REQ-0029,특별가,C1032,구미위생,전문점,이재훈,관급 입찰가 인하 요청,,0.822,1.35,Y,조건부승인
2026-04-28,REQ-0001,특별출고,C1049,직영_명동전시장,직영점,최지원,직영 전시장 신상품 진열 보강,84,,,Y,조건부승인
2026-04-28,REQ-0002,특별출고,C1027,광주위생,전문점,윤가람,직영 전시장 신상품 진열 보강,279,,,Y,조건부승인
2026-04-25,REQ-0006,특별가,C1019,춘천위생,전문점,장도윤,건설사 일괄 발주 단가 협상,,1.05,1.58,Y,조건부승인
2026-04-24,REQ-0004,특별출고,C1041,동래도기상회,전문점,정민수,기존 모델 단종 직전 마지막 발주,270,,,N,승인
2026-04-23,REQ-0007,특별출고,C1028,전주위생,전문점,최지원,기존 모델 단종 직전 마지막 발주,230,,,Y,반려
2026-04-21,REQ-0019,특별가,C1005,동서위생,전문점,한승현,관급 입찰가 인하 요청,,1.004,1.38,Y,검토중
2026-04-20,REQ-0015,특별출고,C1046,DL이앤씨_조달,전문점,이재훈,현장 긴급 납기 (KTX 환승역 리모델링),326,,,Y,승인
2026-04-20,REQ-0026,특별가,C1013,수원바스,전문점,박서영,대형 평수 패키지 단가 협상,,0.897,1.96,Y,반려
2026-04-20,REQ-0036,특별출고,C1010,부천위생,전문점,정민수,관급(공중화장실) 입찰 납품 보강,59,,,Y,검토중
2026-04-19,REQ-0023,특별출고,C1026,충주도기,전문점,박서영,관급(공중화장실) 입찰 납품 보강,263,,,Y,조건부승인
2026-04-18,REQ-0005,특별가,C1016,오산상회,전문점,한승현,경쟁사 가격 인하 대응 (5% 차감 요청),,1.001,1.56,Y,검토중
2026-04-18,REQ-0038,특별가,C1006,성북상사,대리점,장도윤,경쟁사 가격 인하 대응 (5% 차감 요청),,1.025,1.76,Y,승인
2026-04-16,REQ-0014,특별가,C1013,수원바스,전문점,박서영,재고 노후 모델 처분 단가,,0.971,1.26,N,검토중
2026-04-16,REQ-0022,특별출고,C1013,수원바스,전문점,박서영,기존 모델 단종 직전 마지막 발주,327,,,N,검토중
2026-04-15,REQ-0027,특별출고,C1002,강남바스,전문점,정민수,신축 아파트 입주 일정 단축 요청,197,,,Y,승인
2026-04-14,REQ-0020,특별가,C1019,춘천위생,전문점,장도윤,건설사 일괄 발주 단가 협상,,0.833,2.05,Y,조건부승인
2026-04-14,REQ-0024,특별출고,C1007,신도림위생,대리점,김영민,수출 컨테이너 마감 D-3 추가 적재,282,,,N,승인
2026-04-14,REQ-0028,특별출고,C1040,해운대위생설비,전문점,윤가람,신축 아파트 입주 일정 단축 요청,46,,,Y,검토중
2026-04-12,REQ-0009,특별출고,C1020,원주도기,전문점,이재훈,기존 모델 단종 직전 마지막 발주,221,,,Y,승인
2026-04-11,REQ-0008,특별가,C1050,직영_분당전시장,직영점,한승현,건설사 일괄 발주 단가 협상,,0.784,1.98,Y,승인
2026-04-11,REQ-0034,특별가,C1028,전주위생,전문점,최지원,수출 환율 변동 대응,,0.897,1.93,Y,조건부승인
